,Source,Target,type_of_content,created_at,text
1515,loofis,Uber_Support,Reply,2021-03-24 09:58:14,@Uber_Support Hi! I have done this! When can I expect a reply?
1516,Uber_Support,iamumar1989,Reply,2021-03-24 10:26:09,@iamumar1989 Our specialised team can take a closer look and assist you ASAP. Appreciate your patience.
1517,service_fc,Uber_Support,Reply,2021-03-24 10:29:21,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/GckIpc4hjS"
1518,service_fc,Uber_India,Reply,2021-03-24 10:29:21,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/GckIpc4hjS"
1519,service_fc,UberINSupport,Reply,2021-03-24 10:29:21,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/GckIpc4hjS"
1520,service_fc,nitin_gadkari,Reply,2021-03-24 10:29:21,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/GckIpc4hjS"
1521,service_fc,Uber_Support,Reply,2021-03-24 10:30:21,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/W6DakVn7OQ"
1522,service_fc,Uber_India,Reply,2021-03-24 10:30:21,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/W6DakVn7OQ"
1523,service_fc,UberINSupport,Reply,2021-03-24 10:30:21,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/W6DakVn7OQ"
1524,service_fc,nitin_gadkari,Reply,2021-03-24 10:30:21,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/W6DakVn7OQ"
1525,service_fc,Uber_Support,Reply,2021-03-24 10:31:39,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/JWQLBqmxPI"
1526,service_fc,Uber_India,Reply,2021-03-24 10:31:39,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/JWQLBqmxPI"
1527,service_fc,UberINSupport,Reply,2021-03-24 10:31:39,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/JWQLBqmxPI"
1528,service_fc,nitin_gadkari,Reply,2021-03-24 10:31:39,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/JWQLBqmxPI"
1529,service_fc,Uber_Support,Reply,2021-03-24 10:32:00,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/NybquzpDp6"
1530,service_fc,Uber_India,Reply,2021-03-24 10:32:00,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/NybquzpDp6"
1531,service_fc,UberINSupport,Reply,2021-03-24 10:32:00,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/NybquzpDp6"
1532,service_fc,nitin_gadkari,Reply,2021-03-24 10:32:00,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/NybquzpDp6"
1533,service_fc,Uber_Support,Reply,2021-03-24 10:33:24,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/a4coXfxoac"
1534,service_fc,Uber_India,Reply,2021-03-24 10:33:24,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/a4coXfxoac"
1535,service_fc,UberINSupport,Reply,2021-03-24 10:33:24,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/a4coXfxoac"
1536,service_fc,nitin_gadkari,Reply,2021-03-24 10:33:24,"@Uber_Support @Uber_India @UberINSupport   

@nitin_gadkari  #uberindia #service_fc

retweet for network effect https://t.co/a4coXfxoac"
1537,Uber_Support,RiquelMaxime,Reply,2021-03-24 10:42:19,@RiquelMaxime Thanks for following up with us. We've followed up via DM.
1538,Harsimr09481245,Uber_Support,Reply,2021-03-24 10:50:31,@Uber_Support sir I received message that account is deactivated for three days but now almost 10 th day but accoun… https://t.co/0ilobsAnIP
1539,Uber_Support,Beezy2403,Reply,2021-03-24 10:54:49,@Beezy2403 We're so sorry to hear about this. It seems a member of our team has reached out to you. Please check th… https://t.co/8dU16XHHOJ
1540,Beezy2403,Uber_Support,Reply,2021-03-24 11:00:44,@Uber_Support Correct. I received an email but the link is not working. This is what I get when I click on the link. https://t.co/cT8zMsO1gM
1541,Uber_Support,Harsimr09481245,Reply,2021-03-24 11:03:31,@Harsimr09481245 We'd like to take a closer look. Please send us a DM with the phone number associated with your Ub… https://t.co/YQIRMh5EA1
1543,Uber_Support,AmairRiama1,Reply,2021-03-24 11:17:24,"@AmairRiama1 Hi, Amair. A member of our team has responded to your message. You can check this in-app by going to t… https://t.co/zGcqGkEmPI"
1544,AmairRiama1,Uber_Support,Reply,2021-03-24 11:27:52,"@Uber_Support They are saying all my documents are correct and ready to be approved, and then next three hours app… https://t.co/v5eRUXWOqu"
1545,Harsimr09481245,Uber_Support,Reply,2021-03-24 11:37:34,"@Uber_Support Harsimran6400id
9815327545 phone number"
1546,Uber_Support,Oldginner,Reply,2021-03-24 11:48:59,"@Oldginner Hi Simon, we are happy to help. Please send us the phone number, email address, and order ID you are ref… https://t.co/iPsuVxJDsY"
1547,Uber_Support,HenryLacey,Reply,2021-03-24 12:00:06,"@HenryLacey We're here to assist. Please send us the date and time of the trip, so we can assist you further."
1554,RiquelMaxime,Uber_Support,Reply,2021-03-24 12:04:00,@Uber_Support To say the same thing. You have not refunded me. I have contacted my bank and sent you a screenshot o… https://t.co/I0ezor3fRp
1555,Uber_Support,fedslana,Reply,2021-03-24 12:06:17,@fedslana Here to help. Please send us a DM with the phone number associated with your account as well as more info… https://t.co/z85XGGv1Ai
1556,Uber_Support,RiquelMaxime,Reply,2021-03-24 12:11:38,@RiquelMaxime We'll get this sorted out! We've sent you a DM. Please check your inbox and follow-up with us there.
1557,Jonatha86159042,Uber_Support,Reply,2021-03-24 12:19:38,@Uber_Support hello I sent you a message
1558,fedslana,Uber_Support,Reply,2021-03-24 12:20:45,@Uber_Support Y’all still not telling me how $27.98 divided by 2 equals $10.99 https://t.co/yNyh4mzFUi
1559,VN05398132,Uber_Support,Reply,2021-03-24 12:24:26,"@Uber_Support can Uber add equivalent to lyft LUX and lux black? I don't even turn on Uber anymore (I'm a driver),… https://t.co/K5w5xdG8Xf"
1560,Uber_Support,aef819ec79314be,Reply,2021-03-24 12:44:28,"@aef819ec79314be Hi Shivshankar, kindly report your concern via https://t.co/fa2xntHfxQ. Our team will assist you further."
1561,aef819ec79314be,Uber_Support,Reply,2021-03-24 12:46:38,"@Uber_Support You are writing only single thing 

I already told you I am not able to login
https://t.co/Vz4YAqbZ66"
1562,Uber_Support,EAallstar,Reply,2021-03-24 12:58:17,@EAallstar We're here to assist. Dynamic pricing takes place when several users request a trip in the same area at… https://t.co/YwVxAyJvRt
1563,EAallstar,Uber_Support,Reply,2021-03-24 13:06:27,"@Uber_Support thats bullshit and yall know it, IDGAF about no link or Dynamic Pricing, its price gouging. POINT. BL… https://t.co/8glT6wC8yx"
1564,Uber_Support,ABHISHEK1979MAY,Reply,2021-03-24 13:15:06,"@ABHISHEK1979MAY Hey Abhishek, sorry for the inconvenience here. Kindly share with us your registered number via Di… https://t.co/hPEHPntD4p"
1565,ChrisCr19616081,Uber_Support,Reply,2021-03-24 13:28:31,@Uber_Support My account has been charged for 4 deliveries I did not receive. I’ve contacted through the app multip… https://t.co/fGQeaF12Rb
1566,syedaliasgharra,Uber_Support,Reply,2021-03-24 13:33:10,@Uber_Support I was told the fare was Rs 143 after discount now why is it Rs 180? https://t.co/IftHTiTwjj
1567,brgartist,Uber_Support,Reply,2021-03-24 13:36:13,@Uber_Support NO BECAUSE YOUR TEAM ON THE HELP&amp;SUPPORT ARE USELESS!!!!!!!!!!!!!!!!!!!!!!!!!!!!! I WANT DIRECT ONE T… https://t.co/UQyX4LMDcB
1568,ABHISHEK1979MAY,Uber_Support,Reply,2021-03-24 13:37:16,@Uber_Support The nos is 9657782822.Thanks
1569,MarioRiccardi10,Uber_Support,Reply,2021-03-24 13:37:28,"@Uber_Support Thank you for your assistance, I have tried to go online but still not working. 

If I have to do som… https://t.co/qntTKs7WFW"
1570,Uber_Support,ABHISHEK1979MAY,Reply,2021-03-24 13:41:37,"@ABHISHEK1979MAY Hey Abhishek, please share the details of the trip you are referring to via direct message. We wil… https://t.co/KSn6eEqtjU"
1571,Katlynn71,Uber_Support,Reply,2021-03-24 13:42:02,@Uber_Support It was my bad sorry 😢 🙏 we good
1572,Neldo29631666,Uber_Support,Reply,2021-03-24 13:57:08,@Uber_Support i need help opening my uber eats account .. i believe i have a duplicate account.  please check what… https://t.co/RkN1vQZrRl
1573,ABHISHEK1979MAY,Uber_Support,Reply,2021-03-24 13:59:26,@Uber_Support This is the trip. https://t.co/rTDKQ2vHZE
1574,djoptico,Uber_Support,Reply,2021-03-24 14:11:44,@Uber_Support The problem never solve and the uber phone staff was very rude
1575,iamumar1989,Uber_Support,Reply,2021-03-24 14:21:11,"@Uber_Support Hi Support Team, is there any time frame of resolving the issue i.e. how many hours,days,weeks,months… https://t.co/VbG7gaahTQ"
1576,Harsimr09481245,Uber_Support,Reply,2021-03-24 14:22:15,@Uber_Support Is there is any solution to reactivate id
1577,Uber_Support,Neldo29631666,Reply,2021-03-24 14:26:32,"@Neldo29631666 Thanks for reaching out, Neldo.

For help with your Delivery Partner account please reach out to our… https://t.co/gTPJFl3456"
1578,Neldo29631666,Uber_Support,Reply,2021-03-24 14:29:29,@Uber_Support and which option am I going to ?!
1579,natipong_w,Uber_Support,Reply,2021-03-24 14:33:55,@Uber_Support why did you change me form my canceled order? https://t.co/tqaLbJ1dVY
1580,benjamintaboga,Uber_Support,Reply,2021-03-24 14:44:05,@Uber_Support I was overcharged for my trip
1581,PaulSey06641252,Uber_Support,Reply,2021-03-24 14:46:36,@Uber_Support I don't know what you sent me
1582,PaulSey06641252,Uber_Support,Reply,2021-03-24 14:49:38,@Uber_Support @daniel_lazzarii I don't understand what they sent me https://t.co/LBGXwwFaCA
1583,PaulSey06641252,daniel_lazzarii,Reply,2021-03-24 14:49:38,@Uber_Support @daniel_lazzarii I don't understand what they sent me https://t.co/LBGXwwFaCA
1584,Uber_Support,PaulSey06641252,Reply,2021-03-24 14:53:33,"@PaulSey06641252 We understand your concerns. We've been in touch via DM. If you have any questions, please let us… https://t.co/uI1gSTVNgA"
1585,Abhishektornedo,Uber_Support,Reply,2021-03-24 15:08:00,"@Uber_Support I feel like cheated from you Uber.
this is the first time driver denied to stop the cab for 2 mins.Th… https://t.co/5njVXRoQP7"
1586,MaudeGeorgie,Uber_Support,Reply,2021-03-24 15:09:00,@Uber_Support I have been trying to get a response over DM and not having any luck. Please can someone look into my issue ASAP?
1587,huuhhh97281350,Uber_Support,Reply,2021-03-24 15:18:24,@Uber_Support Hello i can’t register my number I need help !
1588,Uber_Support,huuhhh97281350,Reply,2021-03-24 15:22:52,"@huuhhh97281350 We're here to assist. We've just sent you a DM. If you have any questions, please let us know by replying to that message."
1589,Twin98111674,Uber_Support,Reply,2021-03-24 15:32:43,@Uber_Support I had signed up for the Uber rewards and it states it started on 03/21 but it missed 3 trips from 03/… https://t.co/pEtIqlQynG
1590,nights_sparkle,Uber_Support,Reply,2021-03-24 15:37:12,"@Uber_Support I did trip last night.. It was Xl trip going 22 miles.. Once finished trip, I was only paid 9.87... T… https://t.co/KQ94FVumcy"
1591,Uber_Support,garimagaur8,Reply,2021-03-24 15:50:03,"@garimagaur8 Hey Garima, you can add money to the wallet using the ""Add Funds"" option from the help section. Please… https://t.co/rV8BuP8gmB"
1592,garimagaur8,Uber_Support,Reply,2021-03-24 15:55:51,@Uber_Support I cannot find any option here?!! https://t.co/v07qJ1fuCN
1593,Uber_Support,theetigerbae,Reply,2021-03-24 16:09:27,@theetigerbae We're here to assist! We're currently reviewing this and working to get it resolved ASAP. Thanks for your patience!
1594,theetigerbae,Uber_Support,Reply,2021-03-24 16:10:38,@Uber_Support Thanks!
1595,Uber_Support,Twin98111674,Reply,2021-03-24 16:11:27,"@Twin98111674 Thanks for reaching out. Please send us the phone number associated with your Uber account, so we can… https://t.co/dCNIezBeAg"
1596,Uber_Support,abhisek_4u,Reply,2021-03-24 16:22:07,"@abhisek_4u Hey Abhisek, sorry to hear about the trouble. Could you please confirm the exact time of the trip in re… https://t.co/hdWRhs7uB9"
1597,123aviraj,Uber_Support,Reply,2021-03-24 16:23:53,@Uber_Support Uber it's being more then 1 month to report but still you have not taken action on this complaint dri… https://t.co/0L2vvu0WgA
1598,abhisek_4u,Uber_Support,Reply,2021-03-24 16:26:06,@Uber_Support Please follow this screen shot.. And 3rd drive driver asked me to cancel and again charged ₹60 total.… https://t.co/gFEizm60lb
1599,jxsleensandhuu,Uber_Support,Reply,2021-03-24 16:26:31,"@Uber_Support hello please help me with placing my order, it does not allow me to"
1600,huuhhh97281350,Uber_Support,Reply,2021-03-24 16:29:33,@Uber_Support Hello ! I need help registering my number and you haven’t helped me !
1601,PunithReddyN1,Uber_Support,Reply,2021-03-24 16:38:40,"@Uber_Support Guyz, I have been reaching out to your team for the past 2 days and all I get is a TEMPLATE REPLY bei… https://t.co/1PYIxpdjRg"
1602,Uber_Support,Vivzzzk,Reply,2021-03-24 16:49:21,"@Vivzzzk Hey Viveck, we understand that cancellations can be frustrating. If you have been charged incorrectly, ple… https://t.co/EtvWZSi1nI"
1603,Vivzzzk,Uber_Support,Reply,2021-03-24 16:51:25,@Uber_Support @Uber_India like 4 straight cancellations in a row. If they don’t want to work why do you employ such… https://t.co/3EZEsh2rGG
1604,Vivzzzk,Uber_India,Reply,2021-03-24 16:51:25,@Uber_Support @Uber_India like 4 straight cancellations in a row. If they don’t want to work why do you employ such… https://t.co/3EZEsh2rGG
1605,Uber_Support,mns3100813,Reply,2021-03-24 17:02:25,"@mns3100813 Happy to help, Mayank. Hope to see you in an Uber soon."
1606,mns3100813,Uber_Support,Reply,2021-03-24 17:04:46,@Uber_Support Thankyou
1607,Uber_Support,doidge_jessica,Reply,2021-03-24 17:06:43,"@doidge_jessica Hi Jessica, happy to help. Kindly DM us the order ID which you are referring to, so that we can assist you better."
1608,doidge_jessica,Uber_Support,Reply,2021-03-24 17:07:12,@Uber_Support All sorted I called this morning thanks tho
1609,mike_cardarelli,Uber_Support,Reply,2021-03-24 17:08:57,@Uber_Support I have. You told me that it’s acceptable behavior.
1610,Uber_Support,RafigAbuhasna,Reply,2021-03-24 17:21:33,@RafigAbuhasna We definitely want to get this sorted out. Please send us a DM with the phone number associated with… https://t.co/0KXtdsVfVG
1612,RafigAbuhasna,Uber_Support,Reply,2021-03-24 17:23:35,@Uber_Support just send a dm
1613,Uber_Support,ClubHead777,Reply,2021-03-24 17:24:06,@ClubHead777 Sorry to hear about this. Please send us a DM with the phone number associated with your account as we… https://t.co/HJ5YvoldB8
1614,priv__x,Uber_Support,Reply,2021-03-24 17:24:36,@Uber_Support @UberEats @ubereats_uk please reply to my dm I have not been given the right refund and have contacte… https://t.co/xfsuR6ScVH
1615,priv__x,UberEats,Reply,2021-03-24 17:24:36,@Uber_Support @UberEats @ubereats_uk please reply to my dm I have not been given the right refund and have contacte… https://t.co/xfsuR6ScVH
1616,priv__x,ubereats_uk,Reply,2021-03-24 17:24:36,@Uber_Support @UberEats @ubereats_uk please reply to my dm I have not been given the right refund and have contacte… https://t.co/xfsuR6ScVH
1617,Uber_Support,mike_cardarelli,Reply,2021-03-24 17:40:47,"@mike_cardarelli We're here to assist. We've just sent you a DM. If you have any questions, please let us know by replying to that message."
1618,RafigAbuhasna,Uber_Support,Reply,2021-03-24 17:41:18,@Uber_Support DM sent
1619,mike_cardarelli,Uber_Support,Reply,2021-03-24 17:41:43,@Uber_Support Yeah you told me the same thing and confirmed that the driver’s actions are deemed appropriate.
1620,uwasmyhero,Uber_Support,Reply,2021-03-24 18:04:14,"@Uber_Support 
11am in Salem oregon. Another day with no delivery people nearby. Cannot get work if people cannot o… https://t.co/nOlbYrWqul"
1621,Twin98111674,Uber_Support,Reply,2021-03-24 18:18:36,@Uber_Support Sent a dm with my phone
1622,Uber_Support,Purplenugget84,Reply,2021-03-24 18:25:40,"@Purplenugget84 Hi Amelia, we are happy to help. Please follow our support page: https://t.co/tTRYKgjx14 so our Ube… https://t.co/N7vjGxTNae"
1623,RayRay54479836,Uber_Support,Reply,2021-03-24 18:32:52,@Uber_Support how do we contact you I can’t get any support for my ubereats account
1624,whatthehank,Uber_Support,Reply,2021-03-24 18:39:01,@Uber_Support This issue is still unresolved
1625,Tgee92,Uber_Support,Reply,2021-03-24 18:39:12,@Uber_Support my account keeps getting hacked and I can’t reset it?? Keeps saying I’ve opted out but I’ve opted in?… https://t.co/i0v93WnjVY
1626,kreativ_enigma,Uber_Support,Reply,2021-03-24 18:42:02,@Uber_Support I do look forward to your prompt response. https://t.co/BKx6WTtp4r
1627,samuelecannill1,Uber_Support,Reply,2021-03-24 18:45:03,@Uber_Support I sent you all the infos in DM
1628,platinumdiva12,Uber_Support,Reply,2021-03-24 18:45:05,@Uber_Support I sent the information but I can attach in this tweet as well https://t.co/cSEO85rRkm
1629,RayRay54479836,Uber_Support,Reply,2021-03-24 18:49:00,@Uber_Support I have been trying for two days to get support can someone please assist
1630,Uber_Support,Sherri37876657,Reply,2021-03-24 19:08:00,@Sherri37876657 Thank you for taking the time to explain your perspective. We understand this experience can be fru… https://t.co/8DB4vfumfk
1631,Purplenugget84,Uber_Support,Reply,2021-03-24 19:19:53,"@Uber_Support Too late, after half hour tryin to pay for my first ever order I used #justeat where it only took 10 secs to complete"
1632,Uber_Support,iamumar1989,Reply,2021-03-24 19:47:28,"@iamumar1989 We are here to assist. To be able to assist you further, please get in touch through the in-app «Help»… https://t.co/J235n6HcGn"
1633,Oldginner,Uber_Support,Reply,2021-03-24 20:39:32,@Uber_Support Sent
1634,badwords_,Uber_Support,Reply,2021-03-24 20:40:42,@Uber_Support why does this keep happening? https://t.co/hk1shlpUZL
1635,mrF3RDINAND,Uber_Support,Reply,2021-03-24 20:44:47,@Uber_Support you know you got a bad driver when you get this notif https://t.co/O8KEhoDCSd
1636,scion_348,Uber_Support,Reply,2021-03-24 20:48:15,@Uber_Support I was hoping to use this promo code you sent me but this is all I get. I’ve tried on 4 different devi… https://t.co/CqoykQHfO0
1637,m198698502812,Uber_Support,Reply,2021-03-24 21:11:07,"@Uber_Support  I asked to upload my car documents which I previously uploaded. I uploaded the documents two times,… https://t.co/XfvPkgHI8B"
1638,Uber_Support,jasmeen09871400,Reply,2021-03-24 21:11:43,@jasmeen09871400 Here to help. Please send us a DM with the mobile number associated with your Uber account as well… https://t.co/EdcuXT3as8
1639,Uber_Support,Hema52354178,Reply,2021-03-24 22:05:25,@Hema52354178 We definitely want to follow up. Our team is currently working to resolve this issue and will be in t… https://t.co/pxgvxY61MM
1640,SamanthaMedders,Uber_Support,Reply,2021-03-24 22:16:37,@Uber_Support seriously when I saw 6 slices of pizza I thought NORMAL slices...not the size of my fingers!  Horribl… https://t.co/7VdI4LtSl9
1641,jasmeen09871400,Uber_Support,Reply,2021-03-24 22:28:42,@Uber_Support I replied instantly but still no reply....
1642,QNellieeee,Uber_Support,Reply,2021-03-24 22:37:02,@Uber_Support @RiquelMaxime SCAMMM
1643,QNellieeee,RiquelMaxime,Reply,2021-03-24 22:37:02,@Uber_Support @RiquelMaxime SCAMMM
1644,Hema52354178,Uber_Support,Reply,2021-03-24 22:51:37,@Uber_Support Thanks
1645,smashleycou,Uber_Support,Reply,2021-03-24 23:05:04,@Uber_Support I was offered $50 off $100+ order. It’s now showing up at check out https://t.co/3q8eu7g2j7
1646,Tav_Lo,Uber_Support,Reply,2021-03-24 23:05:36,@Uber_Support I’d like to change my profile pic lol. When I click contact it takes me no where 😆 https://t.co/hRQBknRbio
1647,LukeCage069,Uber_Support,Reply,2021-03-24 23:05:48,"@Uber_Support @UberEats I ordered White Castle and I only received my cheese burgers, my 2 order of French fries 🍟a… https://t.co/2TuLEiNqOx"
1648,LukeCage069,UberEats,Reply,2021-03-24 23:05:48,"@Uber_Support @UberEats I ordered White Castle and I only received my cheese burgers, my 2 order of French fries 🍟a… https://t.co/2TuLEiNqOx"
1649,Uber_Support,QNellieeee,Reply,2021-03-24 23:06:01,@QNellieeee We definitely want to get this sorted out. Please send us a DM with the phone number that is associated… https://t.co/sl6rRiHH0V
1650,LoneStarCanuck,Uber_Support,Reply,2021-03-24 23:13:55,@Uber_Support @Uber my driver cancelled and I am being charged?! https://t.co/NoLvcjrnjt
1651,LoneStarCanuck,Uber,Reply,2021-03-24 23:13:55,@Uber_Support @Uber my driver cancelled and I am being charged?! https://t.co/NoLvcjrnjt
1652,becbecsbecca,Uber_Support,Reply,2021-03-24 23:16:23,"@Uber_Support I’m not great at math, but really don’t think this adds up. Help? https://t.co/hnHZvO2eCa"
1653,Uber_Support,P29418341,Reply,2021-03-25 00:00:29,@P29418341 We're happy to help resolve this issue. We've sent you a direct message.
1654,MahurinHannah,Uber_Support,Reply,2021-03-25 00:04:08,@Uber_Support I MADE A TWITTER TO REACH OUT FOR SUPPORT. I WILL NEVER USE UBER OR UBEREATS AGAIN. I WANT A REFUND. CHECK DMS.
1655,QNellieeee,Uber_Support,Reply,2021-03-25 00:04:36,@Uber_Support I have DMd multiple times
1656,MahurinHannah,Uber_Support,Reply,2021-03-25 00:04:58,"@Uber_Support NOT ONLY HAVE I WAITED AN HOUR AND A HALF FOR FOOD THAT IS 5 MINUTES AWAY FROM MY HOUSE, BUT THE DELI… https://t.co/uLkpC0RZaV"
1657,jon_kraushar,Uber_Support,Reply,2021-03-25 00:09:18,@Uber_Support my account was hacked. What number can I call to reverse the Uber eats charges? There were 4 fraudule… https://t.co/UW5O8k9pd9
1658,BANZAIB3N,Uber_Support,Reply,2021-03-25 00:43:33,@Uber_Support I just got a wrong food order from Uber eats. How in the world do I get in contact with an actual per… https://t.co/dCddBSgtqu
1659,hub2asf,Uber_Support,Reply,2021-03-25 00:50:42,@Uber_Support @Uber Can you buy uber cash or an uber gift card for ireland? Where do i buy it?
1660,hub2asf,Uber,Reply,2021-03-25 00:50:42,@Uber_Support @Uber Can you buy uber cash or an uber gift card for ireland? Where do i buy it?
1661,IneedPrinceBack,Uber_Support,Reply,2021-03-25 01:09:28,@Uber_Support Breakfast doesn’t come shaped in a bar.Or in a fancy juice.Real breakfast is served on a platter—a ju… https://t.co/QdW4ou9qI0
1662,Saber4488,Uber_Support,Reply,2021-03-25 01:20:55,@Uber_Support I have been doing request for a while now and I get drivers who would REFUSED my requests when I need… https://t.co/HH7MsfHJ08
1663,Uber_Support,mikaandandrea,Reply,2021-03-25 01:27:14,@mikaandandrea We're here to help! Please provide us with more information regarding your concern and send us your… https://t.co/SuFM2TRCy1
1666,IrfanHu54707781,Uber_Support,Reply,2021-03-25 01:30:11,@Uber_Support  see you in court https://t.co/RFcBn4tSco
1667,KristinaLVA,Uber_Support,Reply,2021-03-25 01:36:57,@Uber_Support @mikaandandrea I actually don’t know how to direct message- can you tell me?
1668,KristinaLVA,mikaandandrea,Reply,2021-03-25 01:36:57,@Uber_Support @mikaandandrea I actually don’t know how to direct message- can you tell me?
1669,KristinaLVA,Uber_Support,Reply,2021-03-25 01:37:41,@Uber_Support @mikaandandrea Ok I see it now
1670,KristinaLVA,mikaandandrea,Reply,2021-03-25 01:37:41,@Uber_Support @mikaandandrea Ok I see it now
1671,Uber_Support,ChetaanNT,Reply,2021-03-25 01:52:29,@ChetaanNT We're here to help. Please send us a DM with the phone number associated with your account as well as th… https://t.co/q7GLBwCRS2
1672,ChetaanNT,Uber_Support,Reply,2021-03-25 01:56:39,@Uber_Support I have sent you DM!
1673,christianegale,Uber_Support,Reply,2021-03-25 02:10:30,"@Uber_Support .... charged an extra $17 for literally no reason, will not let me report the error in the app or via… https://t.co/jRaYybHaNb"
1674,Uber_Support,ClydePa75026457,Reply,2021-03-25 02:18:21,@ClydePa75026457 This isn't the experience we'd like you to have with Uber. Please send us a DM with the phone numb… https://t.co/wjF63D92BQ
1675,ClydePa75026457,Uber_Support,Reply,2021-03-25 02:23:24,@Uber_Support I'm deleting yalls app and switching to grubhub
1676,mikaandandrea,Uber_Support,Reply,2021-03-25 02:45:21,@Uber_Support Thank you! I will message you shortly.
1677,DanA74394105,Uber_Support,Reply,2021-03-25 02:49:29,"@Uber_Support Request help in the app 36 hours ago, still no response."
1678,cygnetsam,Uber_Support,Reply,2021-03-25 02:52:18,@Uber_Support When paying cash to the driver why I'm being asked by the app to pay again? Please fix this ASAP.
1679,AnuragAgarwal5,Uber_Support,Reply,2021-03-25 03:03:06,@Uber_Support @Uber My driver cancelled the ride after half hour nearly and I am being made to pay the cancellation… https://t.co/tG5B65V4sV
1680,AnuragAgarwal5,Uber,Reply,2021-03-25 03:03:06,@Uber_Support @Uber My driver cancelled the ride after half hour nearly and I am being made to pay the cancellation… https://t.co/tG5B65V4sV
1681,Uber_Support,dmilleraudio,Reply,2021-03-25 03:03:34,@dmilleraudio We'd like to look into this. Please send us a DM with the phone number associated with your account a… https://t.co/blkHu5Zs6z
1682,seenubanarsi,Uber_Support,Reply,2021-03-25 03:33:12,@Uber_Support these 3 drivers harassed me by wasting my time. They asked about the drop location and canceled the r… https://t.co/11MwwircC3
1683,dmilleraudio,Uber_Support,Reply,2021-03-25 03:43:12,"@Uber_Support Message was sent, should I expect a response?"
1684,P29418341,Uber_Support,Reply,2021-03-25 03:50:40,"@Uber_Support I have replied, need immediate help"
1685,Uber_Support,Chandra36083774,Reply,2021-03-25 03:58:29,"@Chandra36083774 Hey Chandra, could you please share the date and time of the trip via Direct Message. We will look… https://t.co/hnTZia1B7X"
1686,queenmillie71,Uber_Support,Reply,2021-03-25 04:09:43,@Uber_Support You have replied back saying check the help section in the app there is nothing in the help section i… https://t.co/REhpVLeFbk
1687,RanaDut89215205,Uber_Support,Reply,2021-03-25 04:11:25,"@Uber_Support Every time I try to log in , I get the following message.

You have opted out of this service. To sta… https://t.co/0rbEfyQSxI"
1688,JosefBellman,Uber_Support,Reply,2021-03-25 04:31:29,@Uber_Support I didn't recieve my refund for my order that didn't show up. Have sent a dm
1689,Uber_Support,maskazergon,Reply,2021-03-25 05:12:46,"@maskazergon We'd like to look into this. Please DM us the phone number and email address associated with your account, and we'll follow up."
1690,sankhadeepm,Uber_Support,Reply,2021-03-25 05:28:16,@Uber_Support What is this? https://t.co/yfbWWOBCa0
1691,OSulli24,Uber_Support,Reply,2021-03-25 05:29:21,"@Uber_Support i received a complaint that i wasnt wearing a mask during a ride which is false and a lie, im literal… https://t.co/eijhtz7FSP"
1692,prateeksaxena31,Uber_Support,Reply,2021-03-25 05:52:46,@Uber_Support This happened again yesterday evening when I booked a ride. Driver asked this much questions and canc… https://t.co/ExkNbs4R8N
1693,VenkatR88384411,Uber_Support,Reply,2021-03-25 05:54:25,@Uber_Support I still did not get my money.Shame on you guys... Worst app to use
1694,Mercedes__T,Uber_Support,Reply,2021-03-25 05:59:19,@Uber_Support Help! I can't get back into my uber account. I got a new phone and the app just keeps telling me to e… https://t.co/pzHYXJQp3h
